ID	new_Prepositions_filtered	Imperfective lemma	Perfective lemma	group	Transit/Obj	arg_0	arg_1	arg_2	Examples: !Argument	comments: ?Complement *Collocation/Idiom	Distractors	Verb features
891		компостировать	прокомпостировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
892		компрометировать	скомпрометировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
893		конденсировать	сконденсировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
894	на! между! с!	конкурировать			—	HEAD:Preposition + Base:на + Gov_Case:Locative	HEAD:Preposition + Base:между + Gov_Case:Instrumental	HEAD:Preposition + Base:с + Gov_Case:Instrumental				
895		конопатить	законопатить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
896		конопатить	проконопатить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
897		консервировать	законсервировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
898		конспектировать	законспектировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
899		конспирировать	законспирировать									
900		конструировать	сконструировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
901		консультировать	проконсультировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
902	с! по?	консультироваться	проконсультироваться		—	HEAD:Preposition + Base:с + Gov_Case:Instrumental						
		контактировать			—	HEAD:Preposition + Base:с + Gov_Case:Instrumental						
903		контрактовать	законтрактовать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
904		контрактоваться	законтрактоваться		—							
905	в?	контролировать	проконтролировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
906		конфузить	сконфузить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
907		конфузиться	сконфузиться		—							
908	на!	концентрировать	сконцентрировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Locative						
909	на!	концентрироваться	сконцентрироваться		—	HEAD:Preposition + Base:на + Gov_Case:Locative						
910	с!	кончать	кончить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:с + Gov_Case:Instrumental						
911	с!	кончать	кончить		POS:Verb + Verb_FORM:Infinitive	HEAD:Preposition + Base:с + Gov_Case:Instrumental						
912	на? для?	кончаться	кончиться		—							
913	с!	кооперировать	скооперировать		—	HEAD:Preposition + Base:с + Gov_Case:Instrumental						
914	с!	кооперироваться	скооперироваться		—	HEAD:Preposition + Base:с + Gov_Case:Instrumental						
915		координировать	скоординировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
916	в!	копать	выкопать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:в + Gov_Case:Locative						
917	в!	копаться	закопаться		—	HEAD:Preposition + Base:в + Gov_Case:Locative						
918	на?	копировать	скопировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Accusative						
919	в! на! с*	копить	накопить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:в + Gov_Case:Locative	HEAD:Preposition + Base:на + Gov_Case:Accusative / HEAD:Noun + Case:Genitive + Dependency_Type:obl		! денег на квартиру	*накопить с заплаты		
920	в за?	копить	скопить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:в + Gov_Case:Locative						
921	за? в!	копиться	накопиться		—	HEAD:Preposition + Base:в + Gov_Case:Locative						
922		копиться	скопиться		—							
923		копнить	скопнить									
924		коптить	закоптить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
925		корежить	искорежить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
926		корежить	покорежить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
927		корежить	скорежить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
928		корежиться	искорежиться		—							
929		корежиться	покорежиться		—			HEAD:Preposition + Base:от + Gov_Case:Genitive				
930		корежиться	скорежиться		—							
931	с! в? из!	кормить	накормить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:с + Gov_Case:Genitive	HEAD:Preposition + Base:из + Gov_Case:Genitive					
932	с! в? из!	кормить	покормить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:с + Gov_Case:Genitive	HEAD:Preposition + Base:из + Gov_Case:Genitive					
933		кормиться	прокормиться		—							
934		корнать	обкорнать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
935		корнать	окорнать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
936		коробить	покоробить		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
937		коробиться	покоробиться		—							
938		коробиться	скоробиться		—							
939		коротать	скоротать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
940		корректировать	откорректировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
941		корректировать	прокорректировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
942		корректировать	скорректировать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
943		корчевать	выкорчевать		HEAD:Noun + Case:Accusative + Dependency_Type:obj							
944	из!	корчить	скорчить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:из + Gov_Case:Genitive						
945	на? в? от!	корчиться	скорчиться		—	HEAD:Preposition + Base:от + Gov_Case:Genitive						
946	на!	косить	покосить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Accusative	HEAD:Noun + Case:Instrumental					
947	на!	косить	скосить		HEAD:Noun + Case:Accusative + Dependency_Type:obj	HEAD:Preposition + Base:на + Gov_Case:Accusative						
